WBANNO UTC_DATE UTC_TIME LST_DATE LST_TIME CRX_VN LONGITUDE LATITUDE T_CALC T_HR_AVG T_MAX T_MIN P_CALC SOLARAD SOLARAD_FLAG SOLARAD_MAX SOLARAD_MAX_FLAG SOLARAD_MIN SOLARAD_MIN_FLAG SUR_TEMP_TYPE SUR_TEMP SUR_TEMP_FLAG SUR_TEMP_MAX SUR_TEMP_MAX_FLAG SUR_TEMP_MIN SUR_TEMP_MIN_FLAG RH_HR_AVG RH_HR_AVG_FLAG SOIL_MOISTURE_5 SOIL_MOISTURE_10 SOIL_MOISTURE_20 SOIL_MOISTURE_50 SOIL_MOISTURE_100 SOIL_TEMP_5 SOIL_TEMP_10 SOIL_TEMP_20 SOIL_TEMP_50 SOIL_TEMP_100
23907 20180101 1700 20180101 1100  2.423  -98.08   30.62    -5.8    -6.3    -5.7    -7.1     0.0    237 0    360 0    128 0 C    -1.7 0    -1.2 0    -2.3 0    64 0   0.363   0.414 -99.000 -99.000 -99.000     4.6     6.8 -9999.0 -9999.0 -9999.0
23907 20180101 1800 20180101 1200  2.423  -98.08   30.62    -5.0    -5.2    -4.6    -5.8     0.0    315 0    568 0    202 0 C    -0.4 0     0.7 0    -1.5 0    60 0   0.363   0.415 -99.000 -99.000 -99.000     4.7     6.7 -9999.0 -9999.0 -9999.0
23907 20180101 1900 20180101 1300  2.423  -98.08   30.62    -4.4    -4.5    -4.0    -5.0     0.0    332 0    452 0    238 0 C     1.7 0     2.3 0     0.7 0    59 0   0.363   0.415 -99.000 -99.000 -99.000     4.8     6.8 -9999.0 -9999.0 -9999.0
23907 20180101 2000 20180101 1400  2.423  -98.08   30.62    -3.6    -4.2    -3.5    -4.5     0.0    208 0    311 0    133 0 C     1.9 0     2.4 0     1.3 0    56 0   0.364   0.415 -99.000 -99.000 -99.000     5.0     6.8 -9999.0 -9999.0 -9999.0
23907 20180101 2100 20180101 1500  2.423  -98.08   30.62    -2.6    -2.9    -2.5    -3.6     0.0    225 0    287 0    133 0 C     2.8 0     3.1 0     2.3 0    53 0   0.363   0.409 -99.000 -99.000 -99.000     5.2     6.9 -9999.0 -9999.0 -9999.0
23907 20180101 2200 20180101 1600  2.423  -98.08   30.62    -2.6    -2.3    -2.0    -2.6     0.0    151 0    205 0    103 0 C     2.7 0     2.9 0     2.2 0    52 0   0.364   0.409 -99.000 -99.000 -99.000     5.4     6.9 -9999.0 -9999.0 -9999.0
23907 20180101 2300 20180101 1700  2.423  -98.08   30.62    -3.6    -3.0    -2.5    -3.6     0.0     45 0    126 0      6 0 C     1.5 0     2.2 0     0.6 0    55 0   0.364   0.409 -99.000 -99.000 -99.000     5.3     6.9 -9999.0 -9999.0 -9999.0
23907 20180102 0000 20180101 1800  2.423  -98.08   30.62    -4.0    -3.8    -3.6    -4.0     0.0      3 0     11 0      0 0 C     0.2 0     0.6 0    -0.2 0    57 0   0.363   0.410 -99.000 -99.000 -99.000     5.2     6.9 -9999.0 -9999.0 -9999.0
23907 20180102 0100 20180101 1900  2.423  -98.08   30.62    -4.0    -4.0    -3.9    -4.0     0.0      0 0      0 0      0 0 C    -0.3 0    -0.2 0    -0.3 0    59 0   0.364   0.410 -99.000 -99.000 -99.000     5.1     6.8 -9999.0 -9999.0 -9999.0
23907 20180102 0200 20180101 2000  2.423  -98.08   30.62    -3.8    -3.8    -3.8    -4.0     0.0      0 0      0 0      0 0 C    -0.4 0    -0.3 0    -0.5 0    60 0   0.363   0.410 -99.000 -99.000 -99.000     5.0     6.8 -9999.0 -9999.0 -9999.0
23907 20181231 1800 20181231 1200  2.623  -98.08   30.62    12.5    11.3    12.5    10.1     0.0    327 0    604 0    252 0 C    10.7 0    12.2 0     9.9 0    60 0   0.515   0.523 -99.000 -99.000 -99.000     9.1     9.1 -9999.0 -9999.0 -9999.0
23907 20181231 1900 20181231 1300  2.623  -98.08   30.62    14.5    13.7    15.2    12.4     0.0    421 0    818 0    276 0 C    13.5 0    15.7 0    12.0 0    48 0   0.515   0.518 -99.000 -99.000 -99.000     9.5     9.2 -9999.0 -9999.0 -9999.0
23907 20181231 2000 20181231 1400  2.623  -98.08   30.62    15.7    15.3    16.0    14.5     0.0    381 0    641 0    282 0 C    15.1 0    16.1 0    14.6 0    39 0   0.514   0.515 -99.000 -99.000 -99.000     9.7     9.4 -9999.0 -9999.0 -9999.0
23907 20181231 2100 20181231 1500  2.623  -98.08   30.62    15.9    16.1    17.0    15.4     0.0    341 0    697 0    191 0 C    16.0 0    17.4 0    15.2 0    35 0   0.513   0.512 -99.000 -99.000 -99.000    10.0     9.6 -9999.0 -9999.0 -9999.0
23907 20181231 2200 20181231 1600  2.623  -98.08   30.62    15.6    16.1    16.9    15.5     0.0    256 0    507 0    154 0 C    15.6 0    16.8 0    14.6 0    36 0   0.513   0.510 -99.000 -99.000 -99.000    10.2     9.8 -9999.0 -9999.0 -9999.0
23907 20181231 2300 20181231 1700  2.623  -98.08   30.62    14.8    15.8    16.4    14.8     0.0    160 0    341 0     60 0 C    14.6 0    15.5 0    12.9 0    39 0   0.512   0.506 -99.000 -99.000 -99.000    10.4     9.9 -9999.0 -9999.0 -9999.0
23907 20190101 0000 20181231 1800  2.623  -98.08   30.62    12.9    13.5    14.8    12.7     0.0     29 0     96 0      0 0 C    11.5 0    12.9 0     9.8 0    47 0   0.509   0.502 -99.000 -99.000 -99.000    10.3    10.1 -9999.0 -9999.0 -9999.0
